title	revenue	budget	genres	release_date	runtime	vote_average	vote_count
Red Riding: In the Year of Our Lord 1974	0	0	[{"id": 53, "name": "Thriller"}, {"id": 9648, "name": "Mystery"}, {"id": 80, "name": "Crime"}, {"id": 18, "name": "Drama"}]	2009-02-28	102	7	54
The Girl on the Train	0	0	[{"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	2009-03-18	105	5.6	10
Veronika Decides to Die	0	9000000	[{"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	2009-05-16	103	5.8	75
Crocodile Dundee	328203506	5000000	[{"id": 12, "name": "Adventure"}, {"id": 35, "name": "Comedy"}]	1986-09-26	97	6.3	503
Ultramarines: A Warhammer 40,000 Movie	0	0	[{"id": 16, "name": "Animation"}, {"id": 878, "name": "Science Fiction"}]	2010-12-10	76	5.2	27
The I Inside	0	8800000	[{"id": 53, "name": "Thriller"}, {"id": 9648, "name": "Mystery"}, {"id": 878, "name": "Science Fiction"}]	2004-01-15	90	5.9	62
Beneath Hill 60	0	7347125	[{"id": 18, "name": "Drama"}, {"id": 36, "name": "History"}, {"id": 10752, "name": "War"}]	2010-04-15	122	7.3	40
Polisse	20374201	0	[{"id": 18, "name": "Drama"}]	2011-10-06	127	7.9	285
Awake	14373825	86000000	[{"id": 53, "name": "Thriller"}, {"id": 80, "name": "Crime"}, {"id": 9648, "name": "Mystery"}]	2007-11-28	84	6.3	395
Star Wars: Clone Wars: Volume 1	0	0	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 16, "name": "Animation"}, {"id": 14, "name": "Fantasy"}, {"id": 878, "name": "Science Fiction"}]	2005-03-21	69	8	27
Skin Trade	0	9000000	[{"id": 53, "name": "Thriller"}, {"id": 28, "name": "Action"}, {"id": 18, "name": "Drama"}]	2014-11-07	96	5.6	61
The Lost Boys	32222567	8500000	[{"id": 27, "name": "Horror"}, {"id": 35, "name": "Comedy"}]	1987-07-31	97	6.8	538
Crazy Heart	39462438	7000000	[{"id": 18, "name": "Drama"}, {"id": 10402, "name": "Music"}, {"id": 10749, "name": "Romance"}]	2009-12-16	112	6.8	274
The Rose	29174648	9250000	[{"id": 18, "name": "Drama"}, {"id": 10402, "name": "Music"}, {"id": 10749, "name": "Romance"}]	1979-11-07	125	6.8	28
Baggage Claim	22456509	8500000	[{"id": 35, "name": "Comedy"}]	2013-09-27	96	5.6	85
Barbarella	2500000	9000000	[{"id": 878, "name": "Science Fiction"}]	1968-10-10	98	5.7	146
Shipwrecked	0	0	[{"id": 12, "name": "Adventure"}, {"id": 10751, "name": "Family"}]	1990-10-03	92	6.1	14
Election	0	0	[{"id": 35, "name": "Comedy"}]	1999-04-23	99	6.7	270
The Namesake	20138836	12000000	[{"id": 18, "name": "Drama"}]	2006-09-02	122	6.8	50
The DUFF	43528634	8500000	[{"id": 10749, "name": "Romance"}, {"id": 35, "name": "Comedy"}]	2015-02-20	100	6.8	1322
Glitter	5271666	22000000	[{"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	2001-09-21	104	3.4	38
The Haunting in Connecticut 2: Ghosts of Georgia	0	0	[{"id": 27, "name": "Horror"}, {"id": 18, "name": "Drama"}, {"id": 53, "name": "Thriller"}]	2013-02-01	101	5.6	175
Silmido	0	8000000	[{"id": 28, "name": "Action"}, {"id": 18, "name": "Drama"}, {"id": 36, "name": "History"}]	2003-12-24	135	6.6	28
Bright Star	4440055	8500000	[{"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	2009-11-05	119	6.8	107
My Name Is Khan	42345360	12000000	[{"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	2010-02-12	145	7.7	232
All Is Lost	6108720	9000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 18, "name": "Drama"}]	2013-10-18	106	6.6	671
Limbo	1997807	8000000	[{"id": 12, "name": "Adventure"}, {"id": 18, "name": "Drama"}, {"id": 53, "name": "Thriller"}]	1999-06-04	126	7	17
Namastey London	0	0	[{"id": 18, "name": "Drama"}, {"id": 10769, "name": "Foreign"}, {"id": 10749, "name": "Romance"}]	2007-03-27	128	6.6	29
The Wind That Shakes the Barley	22889018	6500000	[{"id": 18, "name": "Drama"}, {"id": 36, "name": "History"}, {"id": 10752, "name": "War"}]	2006-05-18	124	7.1	154
Yeh Jawaani Hai Deewani	46000000	7700000	[{"id": 10749, "name": "Romance"}]	2013-05-31	159	7.2	79
Quo Vadis	30000000	8250000	[{"id": 18, "name": "Drama"}, {"id": 36, "name": "History"}, {"id": 10749, "name": "Romance"}]	1951-11-08	171	7	63
Repo! The Genetic Opera	188126	0	[{"id": 27, "name": "Horror"}, {"id": 35, "name": "Comedy"}, {"id": 10402, "name": "Music"}, {"id": 878, "name": "Science Fiction"}]	2008-07-18	98	6.7	100
Valley of the Wolves: Iraq	0	10000000	[{"id": 12, "name": "Adventure"}, {"id": 18, "name": "Drama"}, {"id": 28, "name": "Action"}]	2006-02-03	122	4.3	7
Pulp Fiction	213928762	8000000	[{"id": 53, "name": "Thriller"}, {"id": 80, "name": "Crime"}]	1994-10-08	154	8.3	8428
The Muppet Movie	76657000	0	[{"id": 12, "name": "Adventure"}, {"id": 35, "name": "Comedy"}, {"id": 10751, "name": "Family"}]	1979-05-31	97	7	164
Nightcrawler	38697217	8500000	[{"id": 80, "name": "Crime"}, {"id": 18, "name": "Drama"}, {"id": 53, "name": "Thriller"}]	2014-10-23	117	7.6	3395
Club Dread	5001655	8500000	[{"id": 35, "name": "Comedy"}, {"id": 27, "name": "Horror"}]	2004-02-27	104	5.1	107
The Sound of Music	286214286	8200000	[{"id": 18, "name": "Drama"}, {"id": 10751, "name": "Family"}, {"id": 10402, "name": "Music"}, {"id": 10749, "name": "Romance"}]	1965-03-02	174	7.4	941
Splash	69821334	8000000	[{"id": 35, "name": "Comedy"}, {"id": 14, "name": "Fantasy"}, {"id": 10749, "name": "Romance"}]	1984-03-09	111	6.1	321
Little Miss Sunshine	100523181	8000000	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}]	2006-07-26	102	7.5	1686
Stand by Me	52287414	8000000	[{"id": 80, "name": "Crime"}, {"id": 18, "name": "Drama"}]	1986-08-22	89	7.8	1522
28 Days Later	82719885	5000000	[{"id": 27, "name": "Horror"}, {"id": 53, "name": "Thriller"}, {"id": 878, "name": "Science Fiction"}]	2002-10-31	113	7.1	1777
You Got Served	0	0	[{"id": 18, "name": "Drama"}]	2004-01-30	95	4.8	75
Escape from Alcatraz	43000000	8000000	[{"id": 80, "name": "Crime"}, {"id": 18, "name": "Drama"}]	1979-06-22	111	7.2	561
Brown Sugar	27362712	8000000	[{"id": 35, "name": "Comedy"}, {"id": 10749, "name": "Romance"}]	2002-10-05	109	7	31
A Thin Line Between Love and Hate	0	0	[{"id": 35, "name": "Comedy"}, {"id": 53, "name": "Thriller"}, {"id": 80, "name": "Crime"}, {"id": 10749, "name": "Romance"}]	1996-04-04	108	5.7	15
50/50	39187783	8000000	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}]	2011-09-30	100	7	1261
Shutter	0	0	[{"id": 27, "name": "Horror"}, {"id": 9648, "name": "Mystery"}, {"id": 53, "name": "Thriller"}]	2008-03-21	85	5.3	180
That Awkward Moment	26049082	8000000	[{"id": 35, "name": "Comedy"}, {"id": 10749, "name": "Romance"}]	2014-01-29	94	6.1	1004
Modern Problems	0	0	[{"id": 35, "name": "Comedy"}]	1981-12-25	89	5.6	23
Kicks	0	0	[{"id": 12, "name": "Adventure"}]	2016-09-09	80	7.5	18
Much Ado About Nothing	0	8000000	[{"id": 18, "name": "Drama"}, {"id": 35, "name": "Comedy"}, {"id": 10749, "name": "Romance"}]	1993-05-07	111	7.2	189
On Her Majesty's Secret Service	81974493	6500000	[{"id": 12, "name": "Adventure"}, {"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}]	1969-12-12	142	6.5	456
New Nightmare	18090181	14000000	[{"id": 27, "name": "Horror"}, {"id": 53, "name": "Thriller"}, {"id": 9648, "name": "Mystery"}, {"id": 14, "name": "Fantasy"}]	1994-10-13	112	6.4	291
Drive Me Crazy	22593409	8000000	[{"id": 18, "name": "Drama"}, {"id": 35, "name": "Comedy"}, {"id": 10749, "name": "Romance"}, {"id": 10751, "name": "Family"}]	1999-10-01	91	5.8	62
Akeelah and the Bee	18948425	8000000	[{"id": 18, "name": "Drama"}]	2006-04-28	112	6.7	81
Half Baked	17460020	8000000	[{"id": 35, "name": "Comedy"}, {"id": 80, "name": "Crime"}]	1998-01-16	82	6.4	177
New in Town	29010817	8000000	[{"id": 35, "name": "Comedy"}]	2009-01-30	97	5.2	99
American Psycho	34266564	7000000	[{"id": 53, "name": "Thriller"}, {"id": 18, "name": "Drama"}, {"id": 80, "name": "Crime"}]	2000-04-13	102	7.3	2066
The Good Girl	16856124	8000000	[{"id": 18, "name": "Drama"}, {"id": 35, "name": "Comedy"}, {"id": 10749, "name": "Romance"}]	2002-01-12	93	6.1	181
Bon Cop Bad Cop	12671300	8000000	[{"id": 28, "name": "Action"}, {"id": 35, "name": "Comedy"}, {"id": 80, "name": "Crime"}]	2006-07-06	116	6.5	42
The Boondock Saints II: All Saints Day	10629321	8000000	[{"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}, {"id": 80, "name": "Crime"}]	2009-11-24	118	5.9	261
The City of Your Final Destination	0	0	[{"id": 18, "name": "Drama"}]	2009-03-21	114	5.7	9
Enough Said	25288872	0	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	2013-09-18	93	6.6	348
Easy A	74952305	8000000	[{"id": 35, "name": "Comedy"}]	2010-09-10	92	6.7	2210
The Inkwell	8880705	0	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	1994-04-22	110	3.9	5
Shadow of the Vampire	8279017	8000000	[{"id": 18, "name": "Drama"}, {"id": 27, "name": "Horror"}]	2000-05-15	92	6.6	148
Prom	10130000	8000000	[{"id": 35, "name": "Comedy"}]	2011-04-29	104	5.7	134
The Pallbearer	0	8000000	[{"id": 35, "name": "Comedy"}, {"id": 10749, "name": "Romance"}]	1996-05-03	97	4.6	30
Held Up	0	0	[{"id": 35, "name": "Comedy"}]	1999-10-08	89	4.9	11
Woman on Top	0	8000000	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	2000-09-22	92	5.5	46
Howards End	25966555	0	[{"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	1992-03-13	140	6.9	95
Anomalisa	5659286	8000000	[{"id": 16, "name": "Animation"}, {"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	2015-12-30	90	7	459
Another Year	18124262	8000000	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}]	2010-11-05	129	7	97
8 Women	0	8000000	[{"id": 35, "name": "Comedy"}, {"id": 53, "name": "Thriller"}, {"id": 10402, "name": "Music"}, {"id": 80, "name": "Crime"}, {"id": 9648, "name": "Mystery"}]	2002-01-08	111	6.9	196
Showdown in Little Tokyo	2275557	8000000	[{"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}]	1991-08-23	79	5.7	95
Clay Pigeons	0	0	[{"id": 35, "name": "Comedy"}, {"id": 80, "name": "Crime"}, {"id": 18, "name": "Drama"}, {"id": 53, "name": "Thriller"}]	1998-09-25	104	6.3	39
It's Kind of a Funny Story	6491240	8000000	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}]	2010-07-06	101	6.9	672
Made in Dagenham	0	7200000	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}, {"id": 36, "name": "History"}]	2010-09-11	113	6.6	94
When Did You Last See Your Father?	92	0	[{"id": 18, "name": "Drama"}]	2007-10-05	92	6.9	13
Prefontaine	589304	8000000	[{"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	1997-01-24	106	6.7	21
The Wicked Lady	0	0	[{"id": 18, "name": "Drama"}, {"id": 12, "name": "Adventure"}]	1983-04-21	98	4.3	4
The Secret of Kells	0	0	[{"id": 16, "name": "Animation"}, {"id": 10751, "name": "Family"}, {"id": 14, "name": "Fantasy"}]	2009-02-09	75	7.3	181
Begin Again	63464861	8000000	[{"id": 35, "name": "Comedy"}, {"id": 10402, "name": "Music"}, {"id": 10749, "name": "Romance"}, {"id": 18, "name": "Drama"}]	2013-09-07	104	7.3	1254
Down in the Valley	852872	8000000	[{"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	2005-05-13	112	5.9	63
Brooklyn Rules	458232	8000000	[{"id": 18, "name": "Drama"}, {"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}]	2007-04-30	99	5.8	18
Restless	0	0	[{"id": 10770, "name": "TV Movie"}, {"id": 10749, "name": "Romance"}, {"id": 18, "name": "Drama"}]	2012-12-07	180	4.9	8
The Singing Detective	0	0	[{"id": 35, "name": "Comedy"}, {"id": 10402, "name": "Music"}, {"id": 9648, "name": "Mystery"}, {"id": 80, "name": "Crime"}]	2003-10-24	109	5.9	41
The Land Girls	0	0	[{"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}, {"id": 10752, "name": "War"}]	1998-09-25	111	7	3
Fido	426224	8000000	[{"id": 10749, "name": "Romance"}, {"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}, {"id": 27, "name": "Horror"}]	2006-09-07	91	6.6	135
The Wendell Baker Story	0	0	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	2005-08-03	99	5.2	16
Wild Target	3453043	8000000	[{"id": 28, "name": "Action"}, {"id": 35, "name": "Comedy"}]	2010-06-17	98	6.4	215
Pathology	0	8000000	[{"id": 80, "name": "Crime"}, {"id": 27, "name": "Horror"}, {"id": 53, "name": "Thriller"}]	2008-04-11	95	5.6	144
Wuthering Heights	0	0	[{"id": 18, "name": "Drama"}]	2009-01-18	142	6.9	37
10th & Wolf	143451	8000000	[{"id": 28, "name": "Action"}, {"id": 80, "name": "Crime"}, {"id": 18, "name": "Drama"}, {"id": 9648, "name": "Mystery"}, {"id": 53, "name": "Thriller"}]	2006-02-19	107	6.3	24
Dear Wendy	0	0	[{"id": 35, "name": "Comedy"}, {"id": 80, "name": "Crime"}, {"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	2005-01-22	105	5.6	33
Aloft	53086	8000000	[{"id": 18, "name": "Drama"}]	2014-02-12	112	5.1	41
Akira	553171	8000000	[{"id": 878, "name": "Science Fiction"}, {"id": 16, "name": "Animation"}]	1988-07-16	124	7.8	773
The Death and Life of Bobby Z	413454	22000000	[{"id": 18, "name": "Drama"}, {"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}, {"id": 80, "name": "Crime"}]	2007-07-23	97	5.8	103
The Rocket: The Legend of Rocket Richard	2019009	8000000	[{"id": 18, "name": "Drama"}]	2005-10-25	124	6.1	17
Swelter	0	0	[{"id": 28, "name": "Action"}, {"id": 18, "name": "Drama"}, {"id": 53, "name": "Thriller"}]	2014-04-20	96	4.6	21
My Lucky Star	0	0	[{"id": 35, "name": "Comedy"}, {"id": 10749, "name": "Romance"}]	2013-09-17	114	4.3	8
Imagine Me & You	2455831	0	[{"id": 18, "name": "Drama"}, {"id": 35, "name": "Comedy"}, {"id": 10749, "name": "Romance"}]	2005-02-01	93	7	177
Mr. Church	0	8000000	[{"id": 18, "name": "Drama"}]	2016-09-16	104	7	129
Swimming Pool	22441323	7800000	[{"id": 53, "name": "Thriller"}, {"id": 80, "name": "Crime"}]	2003-05-18	102	6.4	153
Green Street Hooligans: Underground	0	0	[{"id": 28, "name": "Action"}, {"id": 18, "name": "Drama"}]	2013-01-01	90	5.4	33
The Blood of Heroes	882290	0	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 878, "name": "Science Fiction"}]	1989-10-19	100	5.9	31
Code of Honor	0	8000000	[{"id": 28, "name": "Action"}, {"id": 80, "name": "Crime"}, {"id": 53, "name": "Thriller"}]	2016-05-06	106	4.1	16
Driving Miss Daisy	145793296	7500000	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}]	1989-12-13	99	7	350
Soul Food	0	0	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}]	1997-09-26	114	6.6	19
Rumble in the Bronx	32392047	7500000	[{"id": 80, "name": "Crime"}, {"id": 28, "name": "Action"}, {"id": 35, "name": "Comedy"}, {"id": 53, "name": "Thriller"}]	1995-01-30	91	6.5	240
Far from Men	0	7700000	[{"id": 18, "name": "Drama"}, {"id": 10752, "name": "War"}]	2014-08-30	110	6.6	43
Thank You for Smoking	24793509	6500000	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}]	2005-09-05	92	7.1	664
Hostel: Part II	35619521	10200000	[{"id": 27, "name": "Horror"}]	2007-06-08	93	5.6	453
An Education	26096852	7500000	[{"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	2009-10-29	100	6.8	409
Shopgirl	11588205	10284523	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	2005-10-21	104	5.7	75
The Hotel New Hampshire	0	7500000	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}]	1984-03-09	109	5.8	26
Narc	12633747	6500000	[{"id": 28, "name": "Action"}, {"id": 80, "name": "Crime"}, {"id": 18, "name": "Drama"}, {"id": 53, "name": "Thriller"}]	2002-01-14	105	6.8	142
Men with Brooms	4245870	7500000	[{"id": 35, "name": "Comedy"}]	2002-09-20	102	4.5	7
Witless Protection	0	0	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 35, "name": "Comedy"}, {"id": 80, "name": "Crime"}]	2008-02-22	97	4	26
The Work and the Glory	3347647	7500000	[{"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	2004-11-24	110	6.1	7
Extract	10848783	8000000	[{"id": 35, "name": "Comedy"}]	2009-09-03	92	5.7	192
Masked and Anonymous	0	0	[{"id": 18, "name": "Drama"}, {"id": 10402, "name": "Music"}]	2003-08-08	112	5.2	13
Betty Fisher and Other Stories	0	0	[{"id": 18, "name": "Drama"}, {"id": 53, "name": "Thriller"}, {"id": 80, "name": "Crime"}, {"id": 10769, "name": "Foreign"}]	2001-09-01	103	7	3
Code 46	0	7500000	[{"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}, {"id": 878, "name": "Science Fiction"}, {"id": 53, "name": "Thriller"}]	2003-09-02	92	6.2	116
Outside Bet	0	7500000	[{"id": 35, "name": "Comedy"}]	2012-04-27	101	5.8	2
Albert Nobbs	5634828	8000000	[{"id": 18, "name": "Drama"}]	2011-12-21	113	6.2	132
Black November	0	12500000	[{"id": 18, "name": "Drama"}, {"id": 28, "name": "Action"}, {"id": 80, "name": "Crime"}]	2012-12-07	95	6.4	4
Ta Ra Rum Pum	0	0	[{"id": 10751, "name": "Family"}, {"id": 35, "name": "Comedy"}, {"id": 10749, "name": "Romance"}]	2007-04-27	156	6	13
Persepolis	0	7300000	[{"id": 16, "name": "Animation"}, {"id": 18, "name": "Drama"}]	2007-05-23	95	7.7	450
The Hole	0	0	[{"id": 53, "name": "Thriller"}, {"id": 12, "name": "Adventure"}, {"id": 14, "name": "Fantasy"}]	2009-09-09	92	5.6	244
The Wave	19000000	7500000	[{"id": 18, "name": "Drama"}, {"id": 53, "name": "Thriller"}]	2008-03-11	107	7.5	841
The Neon Demon	1333124	7000000	[{"id": 53, "name": "Thriller"}, {"id": 27, "name": "Horror"}]	2016-06-08	117	6.4	887
Harry Brown	10329747	7300000	[{"id": 53, "name": "Thriller"}, {"id": 80, "name": "Crime"}, {"id": 18, "name": "Drama"}, {"id": 28, "name": "Action"}]	2009-11-11	103	6.7	348
The Omega Code	2400000	0	[{"id": 27, "name": "Horror"}, {"id": 53, "name": "Thriller"}]	1999-10-15	100	4.4	17
Juno	231411584	7500000	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	2007-12-05	96	7	2244
Pound of Flesh	0	7500000	[{"id": 28, "name": "Action"}]	2015-05-07	104	5.5	63
Diamonds Are Forever	116019547	7200000	[{"id": 12, "name": "Adventure"}, {"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}]	1971-12-13	120	6.3	553
The Godfather	245066411	6000000	[{"id": 18, "name": "Drama"}, {"id": 80, "name": "Crime"}]	1972-03-14	175	8.4	5893
Flashdance	92921203	4000000	[{"id": 18, "name": "Drama"}, {"id": 10402, "name": "Music"}, {"id": 10749, "name": "Romance"}]	1983-04-14	95	6.1	302
(500) Days of Summer	60722734	7500000	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	2009-07-17	95	7.2	2904
The Piano	116700000	7000000	[{"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	1993-05-19	121	7.1	281
Magic Mike	167221571	7000000	[{"id": 18, "name": "Drama"}, {"id": 35, "name": "Comedy"}]	2012-06-28	110	6.1	1040
Darkness Falls	0	0	[{"id": 53, "name": "Thriller"}, {"id": 27, "name": "Horror"}]	2003-01-24	86	4.9	161
Live and Let Die	161777836	7000000	[{"id": 12, "name": "Adventure"}, {"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}]	1973-07-05	121	6.4	533
My Dog Skip	0	7000000	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}, {"id": 10751, "name": "Family"}]	2000-01-14	95	6.5	69
Definitely, Maybe	55447968	0	[{"id": 35, "name": "Comedy"}, {"id": 10749, "name": "Romance"}]	2008-02-08	112	6.7	620
Jumping the Broom	37710610	6600000	[{"id": 35, "name": "Comedy"}]	2011-05-06	112	6	56
Good Night, and Good Luck.	54600000	7000000	[{"id": 18, "name": "Drama"}, {"id": 36, "name": "History"}]	2005-09-16	93	6.8	273
Capote	49084830	7000000	[{"id": 80, "name": "Crime"}, {"id": 18, "name": "Drama"}]	2005-09-30	114	6.8	384
Desperado	25405445	7000000	[{"id": 53, "name": "Thriller"}, {"id": 28, "name": "Action"}, {"id": 80, "name": "Crime"}]	1995-08-25	104	6.8	881
Logan's Run	25000000	9000000	[{"id": 12, "name": "Adventure"}, {"id": 28, "name": "Action"}, {"id": 10749, "name": "Romance"}, {"id": 878, "name": "Science Fiction"}]	1976-06-23	119	6.6	269
The Man with the Golden Gun	97572000	7000000	[{"id": 12, "name": "Adventure"}, {"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}]	1974-12-01	125	6.3	524
Action Jackson	20256975	7000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 35, "name": "Comedy"}, {"id": 80, "name": "Crime"}, {"id": 18, "name": "Drama"}]	1988-02-12	96	4.9	50
The Descent	0	0	[{"id": 12, "name": "Adventure"}, {"id": 27, "name": "Horror"}]	2005-07-08	99	6.8	1005
Michael Jordan to the Max	21268532	0	[{"id": 99, "name": "Documentary"}]	2000-05-05	46	7.5	10
Devil's Due	36433975	7000000	[{"id": 27, "name": "Horror"}]	2014-01-08	89	4.4	216
Flirting with Disaster	14702438	7000000	[{"id": 35, "name": "Comedy"}, {"id": 10749, "name": "Romance"}]	1996-03-22	92	6.3	66
The Devil's Rejects	0	0	[{"id": 18, "name": "Drama"}, {"id": 27, "name": "Horror"}, {"id": 80, "name": "Crime"}]	2005-07-22	107	6.6	322
Dope	17986781	700000	[{"id": 80, "name": "Crime"}, {"id": 18, "name": "Drama"}, {"id": 35, "name": "Comedy"}]	2015-06-19	103	7.2	691
In Too Deep	14011454	7000000	[{"id": 18, "name": "Drama"}, {"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}, {"id": 80, "name": "Crime"}]	1999-08-25	97	6.2	17
House of 1000 Corpses	16829545	7000000	[{"id": 27, "name": "Horror"}]	2003-04-11	89	6	306
Alien Zone	0	0	[{"id": 27, "name": "Horror"}, {"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}, {"id": 878, "name": "Science Fiction"}]	1978-11-22	90	4	3
A Serious Man	31430334	7000000	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}]	2009-10-02	105	6.6	483
Get Low	0	7500000	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}, {"id": 9648, "name": "Mystery"}]	2010-01-22	103	6.5	100
Warlock	0	7000000	[{"id": 12, "name": "Adventure"}, {"id": 35, "name": "Comedy"}, {"id": 14, "name": "Fantasy"}, {"id": 27, "name": "Horror"}]	1989-06-01	103	5.8	95
Beyond the Lights	14618727	7000000	[{"id": 10749, "name": "Romance"}, {"id": 18, "name": "Drama"}]	2014-09-10	116	7	139
A Single Man	0	7000000	[{"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	2009-10-19	101	7.3	463
The Last Temptation of Christ	8373585	7000000	[{"id": 18, "name": "Drama"}]	1988-08-12	164	7	201
Outside Providence	7292175	7000000	[{"id": 10749, "name": "Romance"}, {"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}]	1999-08-16	96	5.6	30
Bride & Prejudice	0	7000000	[{"id": 18, "name": "Drama"}, {"id": 35, "name": "Comedy"}, {"id": 10402, "name": "Music"}, {"id": 10749, "name": "Romance"}]	2004-02-11	111	6.5	110
Rabbit-Proof Fence	0	0	[{"id": 12, "name": "Adventure"}, {"id": 18, "name": "Drama"}, {"id": 28, "name": "Action"}, {"id": 36, "name": "History"}]	2002-02-04	94	6.8	84
Who's Your Caddy?	0	0	[{"id": 35, "name": "Comedy"}]	2007-07-27	93	3.8	18
Split Second	5	7	[{"id": 53, "name": "Thriller"}, {"id": 28, "name": "Action"}, {"id": 27, "name": "Horror"}, {"id": 878, "name": "Science Fiction"}, {"id": 80, "name": "Crime"}]	1992-05-01	90	5.7	63
The Other Side of Heaven	4720371	7000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 18, "name": "Drama"}, {"id": 10751, "name": "Family"}]	2001-04-12	113	6.7	14
Veer-Zaara	29385320	7000000	[{"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	2004-11-12	192	7.4	64
Redbelt	0	7000000	[{"id": 18, "name": "Drama"}]	2008-04-07	99	6.4	76
Cyrus	0	7000000	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	2010-06-18	91	6.1	133
A Dog Of Flanders	0	0	[{"id": 18, "name": "Drama"}, {"id": 10751, "name": "Family"}]	1999-08-27	96	6.4	6
Auto Focus	2062066	7000000	[{"id": 18, "name": "Drama"}, {"id": 80, "name": "Crime"}]	2002-10-18	104	6.1	56
Factory Girl	0	7000000	[{"id": 18, "name": "Drama"}]	2006-12-29	90	6.2	81
We Need to Talk About Kevin	6038942	7000000	[{"id": 18, "name": "Drama"}, {"id": 53, "name": "Thriller"}]	2011-09-28	112	7.4	677
The Christmas Candle	0	0	[{"id": 18, "name": "Drama"}, {"id": 10751, "name": "Family"}]	2013-11-22	100	5.8	8
The Mighty Macs	0	7000000	[{"id": 28, "name": "Action"}, {"id": 18, "name": "Drama"}]	2009-10-21	102	5	15
Losin' It	1246141	7000000	[{"id": 35, "name": "Comedy"}]	1983-04-08	100	4.5	31
Mother and Child	0	7000000	[{"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	2009-11-07	125	6.7	46
